text,label
Em được làm fan cứng luôn rồi nè ❤️ reaction quá hay quá cute coi mấy giờ này quá hợp lí =]]],non_toxic
Đúng là bọn mắt híp lò xo thụt :))) bên việt nam t cái này ra cách đây 10 năm r và bọn t gọi là cái L :))),toxic
Đậu Văn Cường giờ giống thằng sida hơn à,non_toxic
CÔN ĐỒ CỤC SÚC VÔ NHÂN TÍNH ĐỀ NGHI VN. NHÀ NƯỚC VN BAN THƯỞNG.,toxic
Từ lý thuyết đến thực hành là cả 1 câu chuyện dài =)),non_toxic
Coronavirus is manmade,non_toxic
Đố chúng m nhận ra ai,non_toxic
Lúp lúp như chó .,toxic
🥰🥰🥰,non_toxic
"Thế mà mình nói mấy thằng bắc kì, bọn đó lại bâu vô nói mình phân biệt!:D",toxic
"Được anh ưi, lâu rồi không nghe phúc du rap 🤣",non_toxic
Cắt cho trẻ trâu bớt thui mà 😂😂😂,non_toxic
Nghe rất vô lí nhưng cực kì thuyết phục,non_toxic
"chán ghê hong có pé 2 mới máu được, hâhha",non_toxic
Sao t gửi đc bây,non_toxic
thế đấy. làm j bọn nó. bọn nó có quyền nên làm j chả được :v,non_toxic
Loại này cho dựa cột thôi chứ độ thế nào,toxic
Thuong wa di,non_toxic
Dạy bơi cho cá. Bơi thì đương nhiên nó bơi được vì nó là cá. Làm sao cho nó sống được mới là điều người dân đang quan tâm.,toxic
Ủa chứ bữa xin lỗi khóc tế om xòm mà giờ chửi nữa rồi bó tay con này hỗn quá,toxic
Bamtp chạy ngay ddi:)),non_toxic
Cứ đăng cái ảnh 2 bố con là y như rằng bị đổi,non_toxic
"Dàn Táo năm nay làm chương trình TÁO QUÂN VI HÀNH nhé mn, phát sóng 9h tối 23 Tết trên VTV3 :))",non_toxic
Thật chán với chế độ quản lý dân sinh,toxic
Đời vô thường lắm..sống phải tu tâm tích đức cô oi..khẩu nghiệp quá cô ơi,non_toxic
"có ai biết làm cách nào để tìm lại được, đồng đội, đồng chí, hay bạn hữu cùng đơn vị của người trong bức ảnh không.",non_toxic
Sống chậm lại các mày ?,non_toxic
Chương trình quảng cáo xin đc bắt đầu,non_toxic
Nguyễn Hữu Nhân đớp cả của cháu. Thứ mắc dạy,toxic
Nhậu cái đm chúng mày lũ chó hại dân hại nước,toxic
Thế Vinh Yasbaga tối cao,non_toxic
mài có óc để suy nghĩ ko add? cái đồng băng đó mài tính đào hồ bnhiu cho đủ hả thằng ngu?,toxic
chuẩn,non_toxic
Chỉ 3 vàng ngọc như con heo nọc nhà e,toxic
phải thầy k ta,non_toxic
Cảnh sát chính tả comingg nè :)),non_toxic
Xuân đương tới nghĩa là xuân đương qua,non_toxic
